X,Y,FID,village,settlement,facility_type,facility_name,managing_organization,donor,altitude
36.79415,-1.313511667,1123,Laini saba,Kibera,Public space,Usalama,Community group,NaN,1720.3
36.77251908,-1.30791219,1124,Kianda,Kibera,Social hall / community centre / resource centre,Ushirika,NGO,NaN,1754
36.77264744,-1.30796983,1125,Ayany estate,Kibera,Transport stops (matatus/ boda-boda) - formal & informal,Ushirika,No one,NaN,1790
36.79647167,-1.31304,1126,Laini saba,Kibera,Education Facility,Ushirika children center,UN Agency NGO,N/A,1672.1
36.79575,-1.313438333,1127,Laini saba,Kibera,Education Facility,Ushirika Girls Secondary,Individual (eg business owner),NaN,1713.5
36.772535,-1.30918,1128,Kianda,Kibera,Social hall / community centre / resource centre,Ushirika Library,Community group,N/A,1768.8
36.78447209,-1.31180356,1129,Karanja estate,Kibera,Education Facility,Utu Academy,Individual (eg business owner),Adada  Ahmed Ibrahim,1742
36.78391333,-1.311781667,1130,Karanja estate,Kibera,Local organization/ NGO office,Uweza foundation,Missing Values,NaN,1771.5
36.784875,-1.312643333,1131,Kisumu ndogo,Kibera,Social hall / community centre / resource centre,Villa para stadium,Individual (eg business owner),NaN,1750.2
36.78224833,-1.315888333,1132,Gatwekera,Kibera,Social hall / community centre / resource centre,Villa Park Stadium,Individual (eg business owner),NaN,1774.3
36.79540333,-1.31333,1133,Makina,Kibera,Pharmacy / chemist,Vinyl Chemist,Missing Values,NaN,1741.3
36.79172,-1.314176667,1134,Lindi,Kibera,Pharmacy / chemist,Vinyl Dispensing chemist,Missing Values,NaN,1719.1
36.79724505,-1.31290328,1135,Laini saba,Kibera,Religious facility,Vision Of Faith Gospel Church,Missing Values,NaN,1703
36.7732426,-1.30938525,1136,Kianda,Kibera,Social hall / community centre / resource centre,Vision sisters,Community group Other,Vision sisters,1761
36.77321493,-1.309353565,1137,Kianda,Kibera,Social hall / community centre / resource centre,Vision sisters working group,NGO,Vision sisters,1758
36.79544667,-1.31338,1138,Laini saba,Kibera,Religious facility,Vital Solution Elevation churh,Missing Values,NaN,1718.7
36.79767,-1.314726667,1139,Laini saba,Kibera,Religious facility,VOICE IF DELIVERANCE & HEALING MINISTRY,Missing Values,NaN,1716.6
36.77872833,-1.315255,1140,soweto west,Kibera,Religious facility,Voice of Salvation,Missing Values,NaN,1774.8
36.78740167,-1.31402,1141,Kambi muru,Kibera,Social hall / community centre / resource centre,Wasakaji youth group,Community group,N/A,1709.3
36.78726167,-1.314213333,1142,Kambi muru,Kibera,Other,Washroom,Individual (eg business owner),NaN,1762.7
36.78726333,-1.314226667,1143,Kambi muru,Kibera,Other,Washroom,Individual (eg business owner),NaN,1762.4
